title,authors,publication_date,file_path,topics,specialties,clinical_significance,patient_population,pmid,doi,reading_time_minutes,pubmed_enriched
Addressing Substance Use Disorders in People Experiencing Homelessness.,"['Younkin, Morgan', 'Lee, Rebecca', 'Hercule, Paula']",2023-10-01,2023/10/addressing-substance-use-disorders-in-people-experiencing-ho.md,['Family Medicine'],['Family Medicine'],High,Adults,37843934,,1,True
Aspirin Use and the Risk of Mortality in Patients With Hypertension.,"['Cothern, John A', 'Edinger, Matthew L', 'Smith, Dustin K', 'James, John']",2023-10-01,2023/10/aspirin-use-and-the-risk-of-mortality-in-patients-with-hyper.md,"['Hypertension', 'Family Medicine', 'Cardiovascular Disease', 'Blood Pressure']",['Family Medicine'],High,Adults,37843941,,1,True
Bivalent RSV Vaccine Given to Mothers Reduces Total and Severe RSV Infections in Infants.,"['Ebell, Mark H']",2023-10-01,2023/10/bivalent-rsv-vaccine-given-to-mothers-reduces-total-and-seve.md,"['Respiratory Disorders', 'Family Medicine', 'Pulmonology']",['Family Medicine'],High,Pediatric,37843951,,1,True
Breaking Down the AAP Guideline on Childhood Obesity.,"['Lin, Kenneth W', 'McKenna, Kathryn A']",2023-10-01,2023/10/breaking-down-the-aap-guideline-on-childhood-obesity.md,"['Adolescent Medicine', 'Blood Pressure', 'Hypertension', 'Child Health', 'Pediatrics', 'Cardiovascular Disease', 'Family Medicine']","['Family Medicine', 'Pediatrics']",High,Adults,37843935,,1,True
Cholesterol-Reducer Evolocumab Associated With a Nonsignificant Increase in Cardiovascular Mortality.,"['Shaughnessy, Allen']",2023-10-01,2023/10/cholesterol-reducer-evolocumab-associated-with-a-nonsignific.md,['Family Medicine'],['Family Medicine'],High,Adults,37843954,,1,True
Chronic Rhinosinusitis.,"['Keating, Michelle K', 'Phillips, J Cole', 'Phillips, Jacline']",2023-10-01,2023/10/chronic-rhinosinusitis.md,"['Psychiatry', 'Chronic Disease Management', 'Long-term Care', 'Depression', 'Infectious Disease', 'Antimicrobial Therapy', 'Mental Health', 'Family Medicine', 'Pharmacology']",['Family Medicine'],High,Adults,37843944,,3,True
Cryptorchidism (Undescended Testicle).,"['Nguyen, Van', 'Ngo, Larry', 'Jaqua, Ecler Ercole']",2023-10-01,2023/10/cryptorchidism-undescended-testicle.md,"['Malignancy', 'Family Medicine', 'Cancer Screening', 'Oncology']",['Family Medicine'],High,Pediatric,37843945,,1,True
Early Return to Activity Improves Symptoms in Children With Concussion.,"['Shaughnessy, Allen']",2023-10-01,2023/10/early-return-to-activity-improves-symptoms-in-children-with.md,['Family Medicine'],['Family Medicine'],High,Pediatric,37843952,,1,True
Female Family Physicians May Earn $1.8 Million Less Than Male Peers Over a Lifetime.,"['Walter, Grace', 'Siddiqi, Anam', 'Huffstetler, Alison']",2023-10-01,2023/10/female-family-physicians-may-earn-1-8-million-less-than-male.md,['Family Medicine'],['Family Medicine'],High,Adults,37843939,,1,True
Female Family Physicians May Earn $1.8 Million Less Than Male Peers Over a Lifetime.,"['Walter, Grace', 'Siddiqi, Anam', 'Huffstetler, Alison']",2023-10-01,2023/10/female-family-physicians-may-earn-18-million-less-than-male.md,['Family Medicine'],['Family Medicine'],High,Adults,37843939,,1,True
Hypertension in Adults: Initial Evaluation and Management.,"['Clarke, S Lindsey']",2023-10-01,2023/10/hypertension-in-adults-initial-evaluation-and-management.md,"['Hypertension', 'Family Medicine', 'Cardiovascular Disease', 'Blood Pressure']",['Family Medicine'],High,Geriatric,37843942,,2,True
Medications to Promote Weight Loss: Guidelines From the American Gastroenterological Association.,"['Bagley, Patrick']",2023-10-01,2023/10/medications-to-promote-weight-loss-guidelines-from-the-ameri.md,"['Family Medicine', 'Digestive Disorders', 'Gastroenterology']","['Family Medicine', 'Gastroenterology']",High,Adults,37843961,,1,True
NASHnext: A Noninvasive Test for Identifying Risk of NASH Disease Progression.,"['Hoffman, Ariel', 'Chandler, Molly']",2023-10-01,2023/10/nashnext-a-noninvasive-test-for-identifying-risk-of-nash-dis.md,['Family Medicine'],['Family Medicine'],High,Adults,37843955,,1,True
New Onset of Extreme Bradycardia.,"['Nagamine, Takahiko']",2023-10-01,2023/10/new-onset-of-extreme-bradycardia.md,['Family Medicine'],['Family Medicine'],High,Adults,37843959,,1,True
Nontraumatic Subarachnoid Hemorrhage and Ruptured Intracranial Aneurysm: Recognition and Evaluation.,"['Kane, Shawn F', 'Butler, Erik', 'Sindelar, Brian D']",2023-10-01,2023/10/nontraumatic-subarachnoid-hemorrhage-and-ruptured-intracrani.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,37843947,,2,True
Over-the-Counter Medications in Pregnancy.,"['Powers, Elizabeth Allison', 'Tewell, Ryan', 'Bayard, Max']",2023-10-01,2023/10/over-the-counter-medications-in-pregnancy.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Maternal,37843943,,1,True
Respiratory Syncytial Virus Vaccination Recommendations and Other Updates From ACIP.,"['Rockwell, Pamela G']",2023-10-01,2023/10/respiratory-syncytial-virus-vaccination-recommendations-and.md,"['Immunization', 'Respiratory Disorders', 'Vaccination', 'Prevention', 'Family Medicine', 'Pulmonology']",['Family Medicine'],High,Adults,37843960,,1,True
Screening for Eating Disorders in Adolescents and Adults.,[],2023-10-01,2023/10/screening-for-eating-disorders-in-adolescents-and-adults.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Pediatric,37843950,,1,True
Should Medication Be Prescribed for Mild Chronic Hypertension in Pregnancy?,"['Dresang, Lee', 'Vellardita, Lia']",2023-10-01,2023/10/should-medication-be-prescribed-for-mild-chronic-hypertensio.md,"['Blood Pressure', 'Hypertension', 'Obstetrics', 'Pregnancy', 'Cardiovascular Disease', 'Maternal Health', 'Family Medicine']",['Family Medicine'],High,Maternal,37843956,,1,True
The Community Preventive Services Task Force: A Useful Resource for Family Physicians.,"['Melnikow, Joy', 'Istas, Kathryn L']",2023-10-01,2023/10/the-community-preventive-services-task-force-a-useful-resour.md,['Family Medicine'],['Family Medicine'],High,Adults,37843936,,1,True
The Ill Returning Traveler.,"['Rathjen, Nicholas A', 'Shahbodaghi, S David']",2023-10-01,2023/10/the-ill-returning-traveler.md,"['Respiratory Disorders', 'Gastroenterology', 'Family Medicine', 'Digestive Disorders', 'Pulmonology']",['Family Medicine'],High,Adults,37843948,,1,True
The Undescended Testicle.,[],2023-10-01,2023/10/the-undescended-testicle.md,['Family Medicine'],['Family Medicine'],High,Adults,37843946,,1,True
Thiazide Diuretics vs. Other Antihypertensive Drug Classes for First-Line Treatment of Hypertension.,"['Rockafellow, Jessica', 'Rattenni, Joseph']",2023-10-01,2023/10/thiazide-diuretics-vs-other-antihypertensive-drug-classes-fo.md,"['Hypertension', 'Family Medicine', 'Cardiovascular Disease', 'Blood Pressure']",['Family Medicine'],High,Adults,37843937,,1,True
Tiny Vesicles and Papules on the Soles of an Infant.,"['Doh, Jee Yun', 'Kim, Hei Sung']",2023-10-01,2023/10/tiny-vesicles-and-papules-on-the-soles-of-an-infant.md,['Family Medicine'],['Family Medicine'],High,Pediatric,37843958,,1,True
What Is the Association Between People Living With HIV/AIDS and Suicide Attempts?,"['Renzi, John', 'Byrd, Joshua', 'Vardaros, Jacqueline']",2023-10-01,2023/10/what-is-the-association-between-people-living-with-hiv-aids.md,['Family Medicine'],['Family Medicine'],High,Adults,37843957,,1,True
What Is the Association Between People Living With HIV/AIDS and Suicide Attempts?,"['Renzi, John', 'Byrd, Joshua', 'Vardaros, Jacqueline']",2023-10-01,2023/10/what-is-the-association-between-people-living-with-hivaids-a.md,['Family Medicine'],['Family Medicine'],High,Adults,37843957,,1,True
2023 AGS Update on Potentially Inappropriate Medication Use in Older Adults.,"['Barry, Henry C']",2023-11-01,2023/11/2023-ags-update-on-potentially-inappropriate-medication-use.md,['Family Medicine'],['Family Medicine'],High,Geriatric,37983711,,1,True
Adipose-Derived Stem Cell Injections Provide Borderline Meaningful Pain Relief in Adults With Degenerative Joint Disease of the Knee.,"['Barry, Henry C']",2023-11-01,2023/11/adipose-derived-stem-cell-injections-provide-borderline-mean.md,['Family Medicine'],['Family Medicine'],High,Adults,37983713,,1,True
Baricitinib (Olumiant) for the Treatment of Alopecia Areata.,"['Pheasant, Lauren']",2023-11-01,2023/11/baricitinib-olumiant-for-the-treatment-of-alopecia-areata.md,['Family Medicine'],['Family Medicine'],High,Adults,37983706,,1,True
Class I and III Antiarrhythmic Drugs for Maintaining Sinus Rhythm After Catheter Ablation of Atrial Fibrillation.,"['Singh, Madhavi', 'Wiedemer, Joseph P']",2023-11-01,2023/11/class-i-and-iii-antiarrhythmic-drugs-for-maintaining-sinus-r.md,['Family Medicine'],['Family Medicine'],High,Adults,37983696,,1,True
Common Intestinal Parasites.,"['Pyzocha, Natasha', 'Cuda, Amanda']",2023-11-01,2023/11/common-intestinal-parasites.md,['Family Medicine'],['Family Medicine'],High,Pediatric,37983700,,1,True
Diagnosis and Management of Sodium Disorders: Hyponatremia and Hypernatremia.,"['Miller, Nathaniel E', 'Rushlow, David', 'Stacey, Stephen K']",2023-11-01,2023/11/diagnosis-and-management-of-sodium-disorders-hyponatremia-an.md,"['Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Metabolic Disorders']",['Family Medicine'],High,Adults,37983699,,2,True
Dog and Cat Bites: Rapid Evidence Review.,"['Ortiz, David D', 'Lezcano, Federico Orlando']",2023-11-01,2023/11/dog-and-cat-bites-rapid-evidence-review.md,['Family Medicine'],['Family Medicine'],High,Pediatric,37983702,,2,True
Effectiveness of ICS/LABA Compared With SABA as Relief Medications for Asthma.,"['Karamanis, Amber', 'Bleacher, Heather', 'DeSanto, Kristen']",2023-11-01,2023/11/effectiveness-of-icslaba-compared-with-saba-as-relief-medica.md,['Family Medicine'],['Family Medicine'],High,Adults,37983707,,1,True
Effectiveness of ICS/LABA Compared With SABA as Relief Medications for Asthma.,"['Karamanis, Amber', 'Bleacher, Heather', 'DeSanto, Kristen']",2023-11-01,2023/11/effectiveness-of-ics-laba-compared-with-saba-as-relief-medic.md,['Family Medicine'],['Family Medicine'],High,Adults,37983707,,1,True
Environmental Interventions for Preventing Falls in Older People Living in the Community.,"['Herness, Joel', 'Sanders, Jacob', 'James, John']",2023-11-01,2023/11/environmental-interventions-for-preventing-falls-in-older-pe.md,['Family Medicine'],['Family Medicine'],High,Adults,37983695,,1,True
Guidelines for Performing Disability Evaluations.,"['Hyman, Mark H', 'Martin, Douglas W']",2023-11-01,2023/11/guidelines-for-performing-disability-evaluations.md,['Family Medicine'],['Family Medicine'],High,Adults,37983690,,1,True
Interventions for Treatment of Poststroke Depression.,"['Sonoda, Kento', 'Wakabayashi, Mako']",2023-11-01,2023/11/interventions-for-treatment-of-poststroke-depression.md,"['Depression', 'Psychiatry', 'Family Medicine', 'Mental Health']",['Family Medicine'],High,Adults,37983694,,1,True
Managing Difficult Patient Encounters.,"['Bailey, Justin', 'Martin, Susan A', 'Bangs, Angela']",2023-11-01,2023/11/managing-difficult-patient-encounters.md,['Family Medicine'],['Family Medicine'],High,Adults,37983701,,2,True
Medical Assessment After Self-Managed Abortion.,"['Wetterer, Libby', 'Shenko, Christina', 'Prine, Linda']",2023-11-01,2023/11/medical-assessment-after-self-managed-abortion.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Adults,37983709,,1,True
Medications for Irritable Bowel Syndrome: Guidelines From the AGA.,"['Arnold, Michael J']",2023-11-01,2023/11/medications-for-irritable-bowel-syndrome-guidelines-from-the.md,['Family Medicine'],['Family Medicine'],High,Adults,37983715,,1,True
Mucositis Following an Upper Respiratory Tract Infection.,"['Hirai, Brodrick']",2023-11-01,2023/11/mucositis-following-an-upper-respiratory-tract-infection.md,"['Respiratory Disorders', 'Family Medicine', 'Pulmonology']",['Family Medicine'],High,Adults,37983704,,1,True
Older Treatments for Type 2 Diabetes Mellitus Do Not Affect Patient-Oriented Outcomes.,"['Shaughnessy, Allen F']",2023-11-01,2023/11/older-treatments-for-type-2-diabetes-mellitus-do-not-affect.md,"['Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Metabolic Disorders']",['Family Medicine'],High,Adults,37983710,,1,True
Pleural Effusion: Diagnostic Approach in Adults.,"['Shen-Wagner, Joy', 'Gamble, Christine', 'MacGilvray, Phyllis']",2023-11-01,2023/11/pleural-effusion-diagnostic-approach-in-adults.md,['Family Medicine'],['Family Medicine'],High,Adults,37983698,,3,True
Postpartum Breast Mass.,"['Vengal, Sarah', 'Ringwald, Bryce']",2023-11-01,2023/11/postpartum-breast-mass.md,['Family Medicine'],['Family Medicine'],High,Adults,37983705,,1,True
Postpartum Care Up to One Year After Pregnancy: A Systematic Review and Meta-Analysis.,"['Stumbar, Sarah E', 'Minor, Suzanne']",2023-11-01,2023/11/postpartum-care-up-to-one-year-after-pregnancy-a-systematic.md,"['Psychiatry', 'Obstetrics', 'Depression', 'Pregnancy', 'Mental Health', 'Maternal Health', 'Family Medicine']",['Family Medicine'],High,Maternal,37983703,,1,True
Prescribing Opioids for Pain: Guidelines From the Centers for Disease Control and Prevention.,"['Arnold, Michael J']",2023-11-01,2023/11/prescribing-opioids-for-pain-guidelines-from-the-centers-for.md,['Family Medicine'],['Family Medicine'],High,Adults,37983714,,1,True
Seer Home and Ambulatory Video-EEG-ECG for the Diagnosis of Seizure Disorders.,"['Samar, Haroon', 'Contreras-Ortiz, Sarah']",2023-11-01,2023/11/seer-home-and-ambulatory-video-eeg-ecg-for-the-diagnosis-of.md,['Family Medicine'],['Family Medicine'],High,Adults,37983708,,1,True
Should Bone Turnover Markers Be Used Routinely to Monitor Oral Bisphosphonate Osteoporosis Therapy? Yes: Measuring Adherence and Effectiveness of Therapy Benefits Patients.,"['Doshi, Krupa B', 'Khan, Leila Zeinab']",2023-11-01,2023/11/should-bone-turnover-markers-be-used-routinely-to-monitor-or.md,['Family Medicine'],['Family Medicine'],High,Adults,37983691,,1,True
Syncope: Evaluation and Differential Diagnosis.,"['Bayard, Max', 'Gerayli, Fereshteh', 'Holt, James']",2023-11-01,2023/11/syncope-evaluation-and-differential-diagnosis.md,"['Family Medicine', 'Digestive Disorders', 'Gastroenterology']",['Family Medicine'],High,Adults,37983697,,2,True
"Testosterone Does Not Increase Major Adverse Cardiac Events, but Does Increase Risk of Atrial Fibrillation, Pulmonary Embolism, Acute Kidney Injury, and Arrhythmia.","['Ebell, Mark H']",2023-11-01,2023/11/testosterone-does-not-increase-major-adverse-cardiac-events.md,['Family Medicine'],['Family Medicine'],High,Adults,37983712,,1,True
Adjunctive Corticosteroids for Severe Community-Acquired Pneumonia.,"['Long, Brit', 'Gottlieb, Michael']",2023-12-01,2023/12/adjunctive-corticosteroids-for-severe-community-acquired-pne.md,['Family Medicine'],['Family Medicine'],High,Adults,38215412,,1,True
Adnexal Masses: Diagnosis and Management.,"['Wheeler, Vernon', 'Umstead, Blade', 'Chadwick, Christina']",2023-12-01,2023/12/adnexal-masses-diagnosis-and-management.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']","['Family Medicine', 'Oncology']",High,Maternal,38215419,,3,True
Caring for Transgender and Gender-Diverse People: Guidelines From WPATH.,"['Dakkak, MaryAnn', 'Kriegel Ii, David L', 'Tauches, Kimberly']",2023-12-01,2023/12/caring-for-transgender-and-gender-diverse-people-guidelines.md,['Family Medicine'],['Family Medicine'],High,Adults,38215433,,1,True
"Case Report: Rare, Catastrophic Complication of Catheter Ablation.","['Victor, Andrew', 'Barrawi, Hadeel', 'Mooney, Dylan Thomas']",2023-12-01,2023/12/case-report-rare-catastrophic-complication-of-catheter-ablat.md,['Family Medicine'],['Family Medicine'],High,Adults,38215408,,1,True
Childhood and Adolescent Sports-Related Overuse Injuries.,"['Lintner, Laura J', 'Swisher, Jeremy', 'Sitton, Zachary E']",2023-12-01,2023/12/childhood-and-adolescent-sports-related-overuse-injuries.md,['Family Medicine'],['Family Medicine'],High,Pediatric,38215415,,2,True
"Chronic Kidney Disease: Prevention, Diagnosis, and Treatment.","['Goodbred, Andrew J', 'Langan, Robert C']",2023-12-01,2023/12/chronic-kidney-disease-prevention-diagnosis-and-treatment.md,"['Metabolic Disorders', 'Prevention', 'Blood Pressure', 'Hypertension', 'Screening', 'Early Detection', 'Cardiovascular Disease', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Adults,38215416,,2,True
Diary of a Family Physician.,"['Hayashi, Seiji']",2023-12-01,2023/12/diary-of-a-family-physician.md,['Family Medicine'],['Family Medicine'],High,Adults,38215427,,1,True
Does Magnesium Supplementation Treat Nocturnal Leg Cramps?,"['Kaufman, Nicholas', 'White, Daniel', 'Bull, Jessica', 'Radi, Roxanne', 'DeSanto, Kristen']",2023-12-01,2023/12/does-magnesium-supplementation-treat-nocturnal-leg-cramps.md,['Family Medicine'],['Family Medicine'],High,Adults,38215424,,1,True
Early Treatment of Gestational Diabetes Is Modestly Beneficial for Neonatal and Maternal Outcomes.,"['Speer, Linda']",2023-12-01,2023/12/early-treatment-of-gestational-diabetes-is-modestly-benefici.md,"['Metabolic Disorders', 'Obstetrics', 'Pregnancy', 'Maternal Health', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Maternal,38215429,,1,True
Enhanced Screening for People Living With HIV Infection.,"['St Louis, Joshua']",2023-12-01,2023/12/enhanced-screening-for-people-living-with-hiv-infection.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,38215407,,1,True
Facial Swelling in a Young Traveler.,"['Coble, Katie', 'Provost, Alisha']",2023-12-01,2023/12/facial-swelling-in-a-young-traveler.md,['Family Medicine'],['Family Medicine'],High,Adults,38215425,,1,True
Family Medicine Research Is Not a Federal Priority.,"['Huffstetler, Alison', 'Byun, Hoon', 'Jabbarpour, Yalda']",2023-12-01,2023/12/family-medicine-research-is-not-a-federal-priority.md,['Family Medicine'],['Family Medicine'],High,Adults,38215411,,1,True
Initial Evaluation of Clinically Suspected Dementia.,"['Kaplan, Allison K', 'Merrill, Benjamin J']",2023-12-01,2023/12/initial-evaluation-of-clinically-suspected-dementia.md,['Family Medicine'],['Family Medicine'],High,Adults,38215428,,1,True
Learning the ABCDs of Weight Stigma and Bias.,"['Dennis, Syeachia', 'Chatman, Crysta J', 'Reeder, Raye']",2023-12-01,2023/12/learning-the-abcds-of-weight-stigma-and-bias.md,['Family Medicine'],['Family Medicine'],High,Adults,38215409,,1,True
"Nearly Zero Risk of Sexually Transmitting HIV When Viral Loads Are Less Than 1,000 Copies per mL.","['Barry, Henry C']",2023-12-01,2023/12/nearly-zero-risk-of-sexually-transmitting-hiv-when-viral-loa.md,['Family Medicine'],['Family Medicine'],High,Adults,38215432,,1,True
Opioids Are Equal to Placebo in Adults With Acute Nonspecific Low Back or Neck Pain.,"['Barry, Henry C']",2023-12-01,2023/12/opioids-are-equal-to-placebo-in-adults-with-acute-nonspecifi.md,['Family Medicine'],['Family Medicine'],High,Adults,38215430,,1,True
Overuse of Antireflux Medications in Infants.,"['Wolf, Elizabeth R', 'Vadlamudi, Naren', 'Schefft, Matthew', 'Haskell, Helen', 'James, John']",2023-12-01,2023/12/overuse-of-antireflux-medications-in-infants.md,['Family Medicine'],['Family Medicine'],High,Pediatric,38215422,,1,True
Persistent Dry Cough.,"['Corliss, Jennifer M', 'Lai, Jennifer M']",2023-12-01,2023/12/persistent-dry-cough.md,['Family Medicine'],['Family Medicine'],High,Adults,38215426,,1,True
Preconception Counseling and Care.,"['Close, Elizabeth D', 'Gunn, April O', 'Cooke, Alexandria']",2023-12-01,2023/12/preconception-counseling-and-care.md,"['Metabolic Disorders', 'Prevention', 'Screening', 'Obstetrics', 'Early Detection', 'Pregnancy', 'Maternal Health', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Maternal,38215421,,2,True
Preexposure Prophylaxis to Prevent Acquisition of HIV.,"['Tracer, Howard', 'Lorei, Nathan C']",2023-12-01,2023/12/preexposure-prophylaxis-to-prevent-acquisition-of-hiv.md,['Family Medicine'],['Family Medicine'],High,Adults,38215423,,1,True
Preventing CVD in Women: Common Questions and Answers.,"['Westfall, Erin', 'Viere, Anna B', 'Genewick, Joanne E']",2023-12-01,2023/12/preventing-cvd-in-women-common-questions-and-answers.md,"['Metabolic Disorders', 'Obstetrics', 'Pregnancy', 'Maternal Health', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Maternal,38215420,,2,True
Psoriasis.,[],2023-12-01,2023/12/psoriasis.md,['Family Medicine'],['Family Medicine'],High,Adults,38215418,,4,True
Psoriasis: Recognition and Management Strategies.,"['Garner, Kathryn K', 'Hoy, Kattie D S', 'Carpenter, Adriana M']",2023-12-01,2023/12/psoriasis-recognition-and-management-strategies.md,"['Metabolic Disorders', 'Obstetrics', 'Pregnancy', 'Maternal Health', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Pediatric,38215417,,2,True
Spinal Cord Stimulation for Low Back Pain.,"['Nelson, Brian', 'Haynie, Deson', 'Leggit, Jeffrey C']",2023-12-01,2023/12/spinal-cord-stimulation-for-low-back-pain.md,['Family Medicine'],['Family Medicine'],High,Adults,38215413,,1,True
Stable COPD and the Role of Inhaled Corticosteroids.,"['Reedy-Cooper, Alexis', 'Aggarwal, Ritika', 'Liu, Ryan']",2023-12-01,2023/12/stable-copd-and-the-role-of-inhaled-corticosteroids.md,['Family Medicine'],['Family Medicine'],High,Adults,38215414,,1,True
"Terbinafine, 250 mg Once Daily-12 Weeks on, 12 Weeks off, Four Weeks on-Is Preferred for Onychomycosis in Adults.","['Ebell, Mark']",2023-12-01,2023/12/terbinafine-250-mg-once-daily-12-weeks-on-12-weeks-off-four.md,['Family Medicine'],['Family Medicine'],High,Adults,38215431,,1,True
Acute Asthma Exacerbations: Management Strategies.,"['Dabbs, William', 'Bradley, Megan H', ""Chamberlin, Shaunta' M""]",2024-01-01,2024/01/acute-asthma-exacerbations-management-strategies.md,"['Family Medicine', 'Emergency Medicine', 'Acute Care']",['Family Medicine'],High,Pediatric,38227870,,5,True
Acute Coronary Syndrome: Diagnosis and Initial Management.,"['Nohria, Raman', 'Viera, Anthony J']",2024-01-01,2024/01/acute-coronary-syndrome-diagnosis-and-initial-management.md,"['Psychiatry', 'Metabolic Disorders', 'Blood Pressure', 'Hypertension', 'Depression', 'Cardiovascular Disease', 'Mental Health', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Adults,38227869,,5,True
Additional Evidence for the Treatment of Potassium Disorders.,"['Rebedew, David']",2024-01-01,2024/01/additional-evidence-for-the-treatment-of-potassium-disorders.md,['Family Medicine'],['Family Medicine'],High,Adults,38227861,,5,True
Amoxicillin Oral Challenge Is Safe and Accessible for Removing Erroneous Penicillin Allergy Label.,"['Slawson, David C']",2024-01-01,2024/01/amoxicillin-oral-challenge-is-safe-and-accessible-for-removi.md,['Family Medicine'],['Family Medicine'],High,Adults,38227883,,5,True
Approaches to a Patient With Anemia Who Is Refusing a Blood Transfusion.,"['Wiser, Zachary', 'Gauer, Robert']",2024-01-01,2024/01/approaches-to-a-patient-with-anemia-who-is-refusing-a-blood.md,['Family Medicine'],['Family Medicine'],High,Adults,38227881,,5,True
"Breastfeeding Support for Healthy Mothers and Healthy, Term Infants.","['Kaefring, Whitney', 'Liu, Guang Hao']",2024-01-01,2024/01/breastfeeding-support-for-healthy-mothers-and-healthy-term-i.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Pediatric,38227865,,5,True
Compression Therapy for Chronic Venous Ulcers.,"['Sunder, Meera']",2024-01-01,2024/01/compression-therapy-for-chronic-venous-ulcers.md,['Family Medicine'],['Family Medicine'],High,Adults,38227866,,5,True
Diagnosis and Management of Celiac Disease: Guidelines From the American College of Gastroenterology.,"['Arnold, Michael J']",2024-01-01,2024/01/diagnosis-and-management-of-celiac-disease-guidelines-from-t.md,['Family Medicine'],"['Family Medicine', 'Gastroenterology']",High,Adults,38227887,,5,True
FilmArray GI Panel in the Assessment of Acute Gastroenteritis.,"['Bryce, Carl']",2024-01-01,2024/01/filmarray-gi-panel-in-the-assessment-of-acute-gastroenteriti.md,['Family Medicine'],['Family Medicine'],High,Adults,38227880,,5,True
Injections of the Hip and Knee.,"['Webb, Charles W', 'McLeod, Geoff', 'Nuti, Rathna']",2024-01-01,2024/01/injections-of-the-hip-and-knee.md,['Family Medicine'],['Family Medicine'],High,Adults,38227872,,5,True
It Is Time to Switch to Primary HPV Screening for Cervical Cancer.,"['Harper, Diane M', 'Bettcher, Catherine M', 'Young, Alisa P']",2024-01-01,2024/01/it-is-time-to-switch-to-primary-hpv-screening-for-cervical-c.md,"['Family Medicine', 'Screening', 'Oncology', 'Early Detection', 'Prevention', 'Malignancy', 'Cancer Screening']",['Family Medicine'],High,Adults,38227863,,5,True
Local Corticosteroid Injection vs. Placebo for Carpal Tunnel Syndrome.,"['Clebak, Karl T', 'Chambers, Morgan L', 'Nguyen, Kevin Q']",2024-01-01,2024/01/local-corticosteroid-injection-vs-placebo-for-carpal-tunnel.md,['Family Medicine'],['Family Medicine'],High,Adults,38227867,,5,True
Medications for Alcohol Use Disorder.,"['Poorman, Elisabeth', 'McQuade, Brianna M', 'Messmer, Sarah']",2024-01-01,2024/01/medications-for-alcohol-use-disorder.md,"['Depression', 'Psychiatry', 'Family Medicine', 'Mental Health']","['Psychiatry', 'Family Medicine']",High,Adults,38227873,,5,True
Mental Status Examination in Primary Care.,"['Wiley, Anna T', 'Dreher, James W', 'London, Jill D']",2024-01-01,2024/01/mental-status-examination-in-primary-care.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,38227871,,5,True
Network Analysis Finds Oral Isotretinoin Most Effective for Acne Vulgaris.,"['Barry, Henry C']",2024-01-01,2024/01/network-analysis-finds-oral-isotretinoin-most-effective-for.md,['Family Medicine'],['Family Medicine'],High,Adults,38227885,,5,True
New-Onset Seizure in an Adult.,"['Gauer, Robert L']",2024-01-01,2024/01/new-onset-seizure-in-an-adult.md,['Family Medicine'],['Family Medicine'],High,Adults,38227877,,5,True
Nicotine Replacement With e-Cigarettes Might Help Smokers Quit.,"['Shaughnessy, Allen F']",2024-01-01,2024/01/nicotine-replacement-with-e-cigarettes-might-help-smokers-qu.md,['Family Medicine'],['Family Medicine'],High,Adults,38227886,,5,True
No Increased Risk of Esophageal Cancer With Nonerosive Gastroesophageal Reflux.,"['Shaughnessy, Allen F']",2024-01-01,2024/01/no-increased-risk-of-esophageal-cancer-with-nonerosive-gastr.md,"['Malignancy', 'Family Medicine', 'Cancer Screening', 'Oncology']",['Family Medicine'],High,Adults,38227884,,5,True
Nonalcoholic Fatty Liver Disease Is Not a Label.,"['Wiley, Anna T']",2024-01-01,2024/01/nonalcoholic-fatty-liver-disease-is-not-a-label.md,['Family Medicine'],['Family Medicine'],High,Adults,38227862,,5,True
Norgestrel 0.075 mg (Opill) for Contraception.,"['Torro, John', 'Bhayani, Azmina']",2024-01-01,2024/01/norgestrel-0-075-mg-opill-for-contraception.md,['Family Medicine'],['Family Medicine'],High,Adults,38227882,,5,True
Norgestrel 0.075 mg (Opill) for Contraception.,"['Torro, John', 'Bhayani, Azmina']",2024-01-01,2024/01/norgestrel-0075-mg-opill-for-contraception.md,['Family Medicine'],['Family Medicine'],High,Adults,38227882,,5,True
